epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,858.481,1.31292,5.2073,0.96062,0.71871,0.06258,0.05906,0.04324,1.14398,3.95158,0.88812,5.92866e-05,5.92866e-05,5.92866e-05
2,1769.01,1.22638,3.63453,0.89973,0.44382,0.1774,0.15715,0.11596,1.04468,2.96273,0.87477,0.000116598,0.000116598,0.000116598
3,2560.6,1.13563,2.86956,0.88638,0.68663,0.24463,0.28376,0.20486,0.98922,2.38388,0.86545,0.000171547,0.000171547,0.000171547
4,3357.77,1.07756,2.40967,0.8826,0.62928,0.39666,0.4244,0.30396,0.958,2.02503,0.85788,0.000168367,0.000168367,0.000168367
5,4150.62,1.0492,2.08259,0.87113,0.67543,0.4289,0.47986,0.3469,0.91677,1.77817,0.84449,0.000164823,0.000164823,0.000164823
6,4976.41,1.01404,1.85606,0.86638,0.7545,0.45941,0.58329,0.42526,0.88854,1.53422,0.84613,0.000161279,0.000161279,0.000161279
7,5823.65,0.97881,1.66594,0.8675,0.7304,0.56436,0.67285,0.49256,0.89097,1.46409,0.84887,0.000157735,0.000157735,0.000157735
8,6696.07,0.95874,1.5119,0.86724,0.73979,0.66604,0.71185,0.52039,0.87765,1.32267,0.84667,0.000154191,0.000154191,0.000154191
9,7557.62,0.95176,1.40239,0.86273,0.78094,0.68614,0.77301,0.56224,0.8502,1.23455,0.84376,0.000150646,0.000150646,0.000150646
10,8421.25,0.9188,1.29546,0.86076,0.79529,0.72153,0.78851,0.57739,0.83195,1.14286,0.8395,0.000147102,0.000147102,0.000147102
11,9342.8,0.90277,1.20593,0.85706,0.8046,0.76761,0.80992,0.59773,0.82266,1.09604,0.83978,0.000143558,0.000143558,0.000143558
12,10259.6,0.9061,1.15358,0.85679,0.85668,0.76422,0.84109,0.61986,0.81736,1.03926,0.83749,0.000140014,0.000140014,0.000140014
13,11142.3,0.89244,1.0986,0.85563,0.88125,0.77722,0.85288,0.62822,0.81955,0.98818,0.83685,0.00013647,0.00013647,0.00013647
14,12000.6,0.88514,1.07109,0.85175,0.87343,0.80619,0.86772,0.64849,0.78669,0.93096,0.82892,0.000132925,0.000132925,0.000132925
15,12866.1,0.87308,1.02501,0.84996,0.90226,0.80905,0.8967,0.67644,0.7992,0.90855,0.83373,0.000129381,0.000129381,0.000129381
16,13728.4,0.87788,1.01383,0.85501,0.91809,0.79706,0.90476,0.67016,0.80167,0.87806,0.83415,0.000125837,0.000125837,0.000125837
