[2025-11-01 17:18:58] Cấm dừng và đỗ xe, distance=3.75m, conf=0.50
[2025-11-01 17:18:58] Cấm dừng và đỗ xe, distance=3.75m, conf=0.50
[2025-11-01 17:18:58] Cấm dừng và đỗ xe, distance=3.47m, conf=0.43
[2025-11-01 17:18:58] Cấm dừng và đỗ xe, distance=3.47m, conf=0.43
[2025-11-01 17:18:58] Cấm dừng và đỗ xe, distance=3.47m, conf=0.43
[2025-11-01 17:18:58] Cấm dừng và đỗ xe, distance=3.47m, conf=0.43
[2025-11-01 17:18:59] Cấm đỗ xe, distance=6.46m, conf=0.48
[2025-11-01 17:18:59] Cấm đỗ xe, distance=6.46m, conf=0.48
[2025-11-01 17:18:59] Cấm đỗ xe, distance=6.46m, conf=0.48
[2025-11-01 17:18:59] Cấm đỗ xe, distance=6.46m, conf=0.48
[2025-11-01 17:18:59] Cấm đỗ xe, distance=6.36m, conf=0.46
[2025-11-01 17:18:59] Cấm đỗ xe, distance=6.36m, conf=0.46
[2025-11-01 17:19:13] Cấm dừng và đỗ xe, distance=4.57m, conf=0.70
[2025-11-01 17:19:13] Cấm dừng và đỗ xe, distance=4.57m, conf=0.70
[2025-11-01 17:19:13] Cấm dừng và đỗ xe, distance=4.57m, conf=0.70
[2025-11-01 17:19:13] Cấm dừng và đỗ xe, distance=4.57m, conf=0.70
[2025-11-01 17:19:13] Cấm dừng và đỗ xe, distance=4.72m, conf=0.89
[2025-11-01 17:19:13] Cấm dừng và đỗ xe, distance=4.72m, conf=0.89
[2025-11-01 17:19:13] Cấm dừng và đỗ xe, distance=4.72m, conf=0.89
[2025-11-01 17:19:13] Cấm dừng và đỗ xe, distance=4.72m, conf=0.89
[2025-11-01 17:19:13] Cấm dừng và đỗ xe, distance=4.77m, conf=0.94
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.77m, conf=0.94
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.77m, conf=0.94
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.77m, conf=0.94
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.38m, conf=0.67
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.08m, conf=0.76
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.08m, conf=0.76
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.08m, conf=0.76
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.08m, conf=0.76
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.24m, conf=0.53
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.24m, conf=0.53
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.24m, conf=0.53
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.24m, conf=0.53
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.2m, conf=0.39
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.2m, conf=0.39
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.2m, conf=0.39
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.2m, conf=0.39
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.24m, conf=0.69
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.24m, conf=0.69
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.24m, conf=0.69
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.24m, conf=0.69
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.16m, conf=0.39
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.16m, conf=0.39
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.16m, conf=0.39
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.16m, conf=0.39
[2025-11-01 17:19:14] Cấm dừng và đỗ xe, distance=4.2m, conf=0.45
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.04m, conf=0.37
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.04m, conf=0.37
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.04m, conf=0.37
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.04m, conf=0.37
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.08m, conf=0.42
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.0m, conf=0.46
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.0m, conf=0.46
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.0m, conf=0.46
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.0m, conf=0.46
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=3.96m, conf=0.60
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=3.96m, conf=0.60
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=3.96m, conf=0.60
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=3.96m, conf=0.60
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.29m, conf=0.85
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.29m, conf=0.85
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.29m, conf=0.85
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.29m, conf=0.85
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.24m, conf=0.82
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.29m, conf=0.88
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.29m, conf=0.88
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.29m, conf=0.88
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.29m, conf=0.88
[2025-11-01 17:19:15] Cấm dừng và đỗ xe, distance=4.0m, conf=0.75
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.93m, conf=0.50
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.93m, conf=0.50
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.93m, conf=0.50
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.93m, conf=0.50
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.78m, conf=0.76
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.78m, conf=0.76
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.78m, conf=0.76
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.78m, conf=0.76
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.42m, conf=0.66
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.42m, conf=0.66
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.42m, conf=0.66
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.42m, conf=0.66
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.33m, conf=0.30
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.33m, conf=0.30
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.33m, conf=0.30
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.33m, conf=0.30
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.80
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.80
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.80
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.80
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.79
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.79
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.79
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.79
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.89m, conf=0.70
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.93m, conf=0.51
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.93m, conf=0.51
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.93m, conf=0.51
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.93m, conf=0.51
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.89m, conf=0.35
